"date","value"
"2014-01-01","54"
"2014-02-01","51.6"
"2014-03-01","53.1"
"2014-04-01","55.2"
"2014-05-01","56.3"
"2014-06-01","56"
"2014-07-01","58.7"
"2014-08-01","59.6"
"2014-09-01","58.6"
"2014-10-01","57.1"
"2014-11-01","59.3"
"2014-12-01","56"
"2015-01-01","61.5"
"2015-02-01","56.9"
"2015-03-01","56.6"
"2015-04-01","56.7"
"2015-05-01","59.5"
"2015-06-01","61.5"
"2015-07-01","64.9"
"2015-08-01","63.9"
"2015-09-01","60.2"
"2015-10-01","63"
"2015-11-01","58.2"
"2015-12-01","55.7"
"2016-01-01","46.4"
"2016-02-01","55.5"
"2016-03-01","50.3"
"2016-04-01","53"
"2016-05-01","55.6"
"2016-06-01","55.5"
"2016-07-01","51.9"
"2016-08-01","51.8"
"2016-09-01","54"
"2016-10-01","57.7"
"2016-11-01","61.7"
"2016-12-01","61.4"
"2017-01-01","54.7"
"2017-02-01","61.2"
"2017-03-01","51.6"
"2017-04-01","51.4"
"2017-05-01","49.2"
"2017-06-01","52.1"
"2017-07-01","55.7"
"2017-08-01","57.9"
"2017-09-01","66.3"
"2017-10-01","62.2"
"2017-11-01","61.4"
"2017-12-01","54.3"
"2018-01-01","61.9"
"2018-02-01","62.8"
"2018-03-01","61.5"
"2018-04-01","60"
"2018-05-01","64.3"
"2018-06-01","60.7"
"2018-07-01","63.4"
"2018-08-01","62.8"
"2018-09-01","61.6"
"2018-10-01","61.5"
"2018-11-01","64.3"
"2018-12-01","62.7"
"2019-01-01","59.4"
"2019-02-01","64.7"
"2019-03-01","58.7"
"2019-04-01","58.1"
"2019-05-01","55.4"
"2019-06-01","58.9"
"2019-07-01","56.5"
"2019-08-01","58.2"
"2019-09-01","60"
"2019-10-01","55.6"
"2019-11-01","58.5"
"2019-12-01","54.9"
"2020-01-01","55.5"
"2020-02-01","57.8"
"2020-03-01","50"
"2020-04-01","32.9"
"2020-05-01","55.6"
"2020-06-01","62.4"
"2020-07-01","57.6"
"2020-08-01","64.2"
"2020-09-01","59"
"2020-10-01","58.8"
"2020-11-01","66.1"
"2020-12-01","58.5"
"2021-01-01","64.2"
"2021-02-01","55.5"
"2021-03-01","74"
"2021-04-01","63.2"
"2021-05-01","80.6"
"2021-06-01","79.5"
"2021-07-01","82.3"
"2021-08-01","75.4"
"2021-09-01","77.5"
"2021-10-01","66.7"
"2021-11-01","69.1"
"2021-12-01","62"
"2022-01-01","59.9"
"2022-02-01","56.5"
"2022-03-01","58.3"
"2022-04-01","57.1"
"2022-05-01","55.9"
"2022-06-01","55.3"
"2022-07-01","56.7"
"2022-08-01","56.9"
"2022-09-01","56.7"
"2022-10-01","54.4"
"2022-11-01","56.5"
"2022-12-01","49.6"
"2023-01-01","55.2"
"2023-02-01","55.1"
"2023-03-01","51.2"
"2023-04-01","51.9"
"2023-05-01","50.3"
"2023-06-01","53.9"
"2023-07-01","52.7"
"2023-08-01","54.5"
"2023-09-01","53.6"
"2023-10-01","51.8"
"2023-11-01","52.7"
"2023-12-01","50.6"
"2024-01-01","53.4"
"2024-02-01","52.6"
"2024-03-01","51.4"
"2024-04-01","49.4"
"2024-05-01","53.8"
"2024-06-01","48.8"
"2024-07-01","51.4"
"2024-08-01","51.5"
"2024-09-01","54.9"
"2024-10-01","56"
"2024-11-01","52.1"
"2024-12-01","54.1"
"2025-01-01","52.8"
"2025-02-01","53.5"
"2025-03-01","50.8"
"2025-04-01","51.6"
"2025-05-01","49.9"
"2025-06-01","50.8"
"2025-07-01","50.1"
"2025-08-01","52"
"2025-09-01","50"
"2025-10-01","52.4"
"2025-11-01","52.6"
"2025-12-01","54.4"
"2026-01-01","53.8"
"2026-02-01","56.1"
"2026-03-01","54"
